State,Rank,Population
California,1,39250017
Texas,2,27862596
Florida,3,20612439
New York,4,19745289
Illinois,5,12801539
Pennsylvania,6,12784227
Ohio,7,11614373
Georgia,8,10310371
North Carolina,9,10146788
Michigan,10,9928300
New Jersey,11,8944469
Virginia,12,8411808
Washington,13,7288000
Arizona,14,6931071
Massachusetts,15,6811779
Tennessee,16,6651194
Indiana,17,6633053
Missouri,18,6093000
Maryland,19,6016447
Wisconsin,20,5778708
Colorado,21,5540545
Minnesota,22,5519952
South Carolina,23,4961119
Alabama,24,4863300
Louisiana,25,4681666
Kentucky,26,4436974
Oregon,27,4093465
Oklahoma,28,3923561
Connecticut,29,3576452
Iowa,30,3134693
Utah,31,3051217
Mississippi,32,2988726
Arkansas,33,2988248
Nevada,34,2940058
Kansas,35,2907289
New Mexico,36,2081015
Nebraska,37,1907116
West Virginia,38,1831102
Idaho,39,1683140
Hawaii,40,1428557
New Hampshire,41,1334795
Maine,42,1331479
Rhode Island,43,1056426
Montana,44,1042520
Delaware,45,952065
South Dakota,46,865454
North Dakota,47,757952
Alaska,48,741894
Vermont,49,624594
Wyoming,50,585501
